qid,policy,representation,packer,em,f1,ans_in_context,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
9ab545800bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4903,0.5,155.0,0.5,0.0
61456758085411ebbd59ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4241,0.5,158.0,0.5,0.0
26f25e9d089c11ebbd78ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.3291,0.5,158.0,1.0,1.0
ce5bfc90086c11ebbd61ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3147,0.25,143.0,0.5,0.0
f893967608a811ebbd7fac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4,1.0,160.0,1.0,1.0
346a41b4084e11ebbd56ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.1974,0.5,152.0,0.5,0.0
bcbd76e608a111ebbd79ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.2611,0.5,157.0,0.5,0.0
f26542c808c511ebbd8fac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.3732,0.5,142.0,0.5,0.0
5b1e1f240bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2148,0.5,149.0,0.5,0.0
b146f47c0bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3019,0.5,159.0,1.0,1.0
9c996f860bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5985,0.5,137.0,1.0,1.0
f491b33e0bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2893,0.5,159.0,0.5,0.0
21d2a107091911ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.3734,1.0,158.0,1.0,1.0
10e63c10087211ebbd64ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,0.0,0.1613,0.25,155.0,0.5,0.0
5c7ce15a0bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3481,0.5,158.0,0.5,0.0
b0e112940bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1757,0.5,148.0,0.5,0.0
e6a74e020bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2055,0.5,146.0,0.5,0.0
