policy,router_type,representation,packer,reader_model,packed_token_budget,recall@1,all_gold@1,recall@2,all_gold@2,recall@5,all_gold@5,qwen_em,qwen_f1,avg_reader_evidence_tokens,mean_ans_in_context,mean_gold_token_density,mean_gold_doc_reader_cov,mean_all_gold_reader,mean_distractor_docs,mean_context_tokens,mean_n_snippets,selection_counts
chunk_packed_160,fixed,chunk,packed,Qwen/Qwen2.5-3B-Instruct,160,0.4305,0.0,0.629,0.29,0.718,0.43,0.21,0.2274,150.23,0.318,0.3499,0.567,0.254,2.554,150.228,4.074,
chunk_focused_160,fixed,chunk,focused,Qwen/Qwen2.5-3B-Instruct,160,0.4305,0.0,0.629,0.29,0.718,0.43,0.246,0.2708,151.05,0.39,0.4463,0.5945,0.254,2.148,151.046,3.858,
chunk_mmr_160,fixed,chunk,mmr,Qwen/Qwen2.5-3B-Instruct,160,0.4305,0.0,0.629,0.29,0.718,0.43,0.23,0.2508,151.41,0.34,0.4165,0.536,0.186,2.186,151.412,3.94,
chunk_submod_160,fixed,chunk,submod,Qwen/Qwen2.5-3B-Instruct,160,0.4305,0.0,0.629,0.29,0.718,0.43,0.222,0.2441,145.17,0.384,0.4206,0.645,0.324,2.526,145.168,5.012,
ace_focused_160,fixed,ace,focused,Qwen/Qwen2.5-3B-Instruct,160,0.4115,0.0,0.6065,0.272,0.711,0.43,0.254,0.2815,150.91,0.424,0.4323,0.6615,0.352,2.388,150.912,4.438,
ace_mmr_160,fixed,ace,mmr,Qwen/Qwen2.5-3B-Instruct,160,0.4115,0.0,0.6065,0.272,0.711,0.43,0.26,0.2941,150.54,0.408,0.4502,0.6385,0.31,2.274,150.536,4.458,
ace_submod_160,fixed,ace,submod,Qwen/Qwen2.5-3B-Instruct,160,0.4115,0.0,0.6065,0.272,0.711,0.43,0.258,0.2823,148.33,0.408,0.4225,0.655,0.344,2.514,148.33,5.008,
router_oracle_packer,oracle,mixed,oracle,Qwen/Qwen2.5-3B-Instruct,160,,,,,,,0.38,0.4287,141.31,0.424,0.4418,0.634,0.318,2.286,141.306,4.45,"{""ace_focused_160"": 90, ""ace_mmr_160"": 51, ""ace_submod_160"": 77, ""chunk_focused_160"": 89, ""chunk_mmr_160"": 27, ""chunk_submod_160"": 166}"
