policy,router_type,representation,packer,reader_model,packed_token_budget,recall@1,all_gold@1,recall@2,all_gold@2,recall@5,all_gold@5,qwen_em,qwen_f1,avg_reader_evidence_tokens,mean_ans_in_context,mean_gold_token_density,mean_gold_doc_reader_cov,mean_all_gold_reader,mean_distractor_docs,mean_context_tokens,mean_n_snippets,selection_counts
chunk_packed_96,fixed,chunk,packed,Qwen/Qwen2.5-3B-Instruct,96,0.294,0.008,0.36,0.04,0.506,0.184,0.062,0.0999,84.39,0.158,0.2635,0.276,0.042,1.474,84.386,2.078,
chunk_focused_96,fixed,chunk,focused,Qwen/Qwen2.5-3B-Instruct,96,0.294,0.008,0.36,0.04,0.506,0.184,0.052,0.0967,84.29,0.134,0.3541,0.306,0.034,1.208,84.288,1.888,
chunk_mmr_96,fixed,chunk,mmr,Qwen/Qwen2.5-3B-Instruct,96,0.294,0.008,0.36,0.04,0.506,0.184,0.048,0.0892,84.32,0.118,0.3264,0.276,0.03,1.19,84.316,1.91,
chunk_submod_96,fixed,chunk,submod,Qwen/Qwen2.5-3B-Instruct,96,0.294,0.008,0.36,0.04,0.506,0.184,0.062,0.1052,80.74,0.114,0.2966,0.307,0.048,1.544,80.742,2.558,
ace_focused_96,fixed,ace,focused,Qwen/Qwen2.5-3B-Instruct,96,0.281,0.004,0.359,0.04,0.481,0.142,0.07,0.1153,83.34,0.16,0.3185,0.332,0.046,1.558,83.342,2.324,
ace_mmr_96,fixed,ace,mmr,Qwen/Qwen2.5-3B-Instruct,96,0.281,0.004,0.359,0.04,0.481,0.142,0.066,0.1072,83.04,0.154,0.2895,0.299,0.038,1.506,83.036,2.362,
ace_submod_96,fixed,ace,submod,Qwen/Qwen2.5-3B-Instruct,96,0.281,0.004,0.359,0.04,0.481,0.142,0.062,0.1047,81.75,0.138,0.2777,0.291,0.03,1.67,81.748,2.666,
router_oracle_packer,oracle,mixed,oracle,Qwen/Qwen2.5-3B-Instruct,96,,,,,,,0.13,0.2034,75.04,0.192,0.3054,0.284,0.038,1.358,75.04,2.158,"{""ace_focused_96"": 113, ""ace_mmr_96"": 29, ""ace_submod_96"": 52, ""chunk_focused_96"": 125, ""chunk_mmr_96"": 24, ""chunk_submod_96"": 157}"
