policy,router_type,representation,packer,reader_model,packed_token_budget,recall@1,all_gold@1,recall@2,all_gold@2,recall@5,all_gold@5,qwen_em,qwen_f1,avg_reader_evidence_tokens,mean_ans_in_context,mean_ans_in_context_soft,mean_gold_token_density,mean_gold_doc_reader_cov,mean_all_gold_reader,mean_distractor_docs,mean_context_tokens,mean_n_snippets,selection_counts
chunk_packed_128,fixed,chunk,packed,Qwen/Qwen2.5-3B-Instruct,128,0.4195,0.0,0.6175,0.274,0.701,0.402,0.248,0.2645,118.7,0.324,0.4033,0.361,0.5015,0.172,2.202,118.704,3.512,
chunk_focused_128,fixed,chunk,focused,Qwen/Qwen2.5-3B-Instruct,128,0.4195,0.0,0.6175,0.274,0.701,0.402,0.246,0.2693,118.76,0.366,0.4408,0.4922,0.549,0.204,1.726,118.758,3.236,
chunk_mmr_128,fixed,chunk,mmr,Qwen/Qwen2.5-3B-Instruct,128,0.4195,0.0,0.6175,0.274,0.701,0.402,0.232,0.2561,119.04,0.346,0.4163,0.4518,0.5155,0.182,1.818,119.044,3.342,
chunk_submod_128,fixed,chunk,submod,Qwen/Qwen2.5-3B-Instruct,128,0.4195,0.0,0.6175,0.274,0.701,0.402,0.234,0.253,114.15,0.358,0.4473,0.4423,0.6065,0.284,2.148,114.15,4.116,
ace_focused_128,fixed,ace,focused,Qwen/Qwen2.5-3B-Instruct,128,0.3965,0.0,0.589,0.248,0.6885,0.384,0.25,0.2692,117.96,0.372,0.4488,0.4506,0.605,0.27,2.076,117.964,3.76,
ace_mmr_128,fixed,ace,mmr,Qwen/Qwen2.5-3B-Instruct,128,0.3965,0.0,0.589,0.248,0.6885,0.384,0.242,0.2674,117.81,0.338,0.4149,0.4349,0.5665,0.22,2.062,117.81,3.766,
ace_submod_128,fixed,ace,submod,Qwen/Qwen2.5-3B-Instruct,128,0.3965,0.0,0.589,0.248,0.6885,0.384,0.228,0.2487,116.27,0.36,0.4427,0.4192,0.592,0.262,2.262,116.27,4.248,
router_oracle_packer,oracle,mixed,oracle,Qwen/Qwen2.5-3B-Instruct,128,,,,,,,0.38,0.4141,109.74,0.388,0.4656,0.4683,0.5805,0.252,1.922,109.74,3.63,"{""ace_focused_128"": 97, ""ace_mmr_128"": 21, ""ace_submod_128"": 72, ""chunk_focused_128"": 108, ""chunk_mmr_128"": 32, ""chunk_submod_128"": 170}"
