policy,router_type,representation,packer,reader_model,packed_token_budget,recall@1,all_gold@1,recall@2,all_gold@2,recall@5,all_gold@5,qwen_em,qwen_f1,avg_reader_evidence_tokens,mean_ans_in_context,mean_ans_in_context_soft,mean_gold_token_density,mean_gold_doc_reader_cov,mean_all_gold_reader,mean_distractor_docs,mean_context_tokens,mean_n_snippets,selection_counts
chunk_packed_128,fixed,chunk,packed,Qwen/Qwen2.5-3B-Instruct,128,0.4305,0.0,0.629,0.29,0.718,0.43,0.196,0.2077,118.94,0.314,0.4015,0.358,0.4955,0.176,2.198,118.94,3.478,
chunk_focused_128,fixed,chunk,focused,Qwen/Qwen2.5-3B-Instruct,128,0.4305,0.0,0.629,0.29,0.718,0.43,0.242,0.2613,119.72,0.35,0.4303,0.4825,0.541,0.198,1.74,119.718,3.226,
chunk_mmr_128,fixed,chunk,mmr,Qwen/Qwen2.5-3B-Instruct,128,0.4305,0.0,0.629,0.29,0.718,0.43,0.224,0.2433,119.32,0.33,0.411,0.4481,0.4965,0.16,1.814,119.318,3.282,
chunk_submod_128,fixed,chunk,submod,Qwen/Qwen2.5-3B-Instruct,128,0.4305,0.0,0.629,0.29,0.718,0.43,0.232,0.2458,114.24,0.356,0.4351,0.4474,0.604,0.29,2.122,114.238,4.18,
ace_focused_128,fixed,ace,focused,Qwen/Qwen2.5-3B-Instruct,128,0.4115,0.0,0.6065,0.272,0.711,0.43,0.23,0.2545,118.22,0.386,0.459,0.4859,0.626,0.3,1.858,118.222,3.6,
ace_mmr_128,fixed,ace,mmr,Qwen/Qwen2.5-3B-Instruct,128,0.4115,0.0,0.6065,0.272,0.711,0.43,0.234,0.2636,118.51,0.35,0.4212,0.466,0.5835,0.24,1.892,118.51,3.664,
ace_submod_128,fixed,ace,submod,Qwen/Qwen2.5-3B-Instruct,128,0.4115,0.0,0.6065,0.272,0.711,0.43,0.246,0.2699,116.2,0.382,0.4546,0.4463,0.6155,0.302,2.13,116.202,4.15,
router_oracle_packer,oracle,mixed,oracle,Qwen/Qwen2.5-3B-Instruct,128,,,,,,,0.37,0.4134,110.34,0.382,0.4594,0.4796,0.5825,0.254,1.88,110.344,3.682,"{""ace_focused_128"": 95, ""ace_mmr_128"": 43, ""ace_submod_128"": 76, ""chunk_focused_128"": 81, ""chunk_mmr_128"": 39, ""chunk_submod_128"": 166}"
