qid,policy,representation,packer,em,f1,ans_in_context,ans_in_context_soft,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
2hop__311694_129669,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.5,0.0
2hop__819974_129669,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.2792,0.5,154.0,0.5,0.0
2hop__199513_13732,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,160.0,1.0,1.0
2hop__13731_801817,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0
2hop__865961_159109,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.3377,0.5,151.0,0.5,0.0
2hop__728887_159109,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3333,0.3444,0.5,151.0,0.5,0.0
2hop__827995_159109,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.2143,0.5,140.0,0.5,0.0
2hop__159215_779396,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3333,0.2484,0.5,153.0,0.5,0.0
2hop__119423_779396,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6667,0.0,0.0,159.0,0.5,0.0
2hop__115515_779396,chunk_packed_160,chunk,packed,0.0,0.5714,0.0,0.6667,0.0,0.0,150.0,0.5,0.0
2hop__665660_135481,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.5192,1.0,156.0,1.0,1.0
2hop__201704_135481,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.4808,1.0,156.0,1.0,1.0
2hop__861157_135481,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.2548,0.5,157.0,1.0,1.0
2hop__495316_660579,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.1486,0.5,148.0,0.5,0.0
2hop__478978_124498,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.3571,0.5,154.0,0.5,0.0
2hop__543853_124498,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.5323,0.5,124.0,0.5,0.0
2hop__335899_124498,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.1218,0.5,156.0,0.5,0.0
2hop__517145_367341,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.2095,0.5,148.0,0.5,0.0
