qid,policy,representation,packer,em,f1,ans_in_context,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
c99c181e08b911ebbd88ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.6561,0.5,157.0,0.5,0.0
1eeb91060bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2966,0.5,145.0,1.0,1.0
27944f240bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,1.0,1.0,0.0,0.0,0.0,159.0,0.5,0.0
0254eea408b911ebbd88ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2564,0.5,156.0,1.0,1.0
f48667b80bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,160.0,0.5,0.0
8145e4de0baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,156.0,0.5,0.0
62ce8c8e0bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.469,0.5,145.0,0.5,0.0
ae30933a088b11ebbd6fac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3577,0.5,137.0,0.5,0.0
7e3f262c0bd911eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.106,0.5,151.0,0.5,0.0
fac0692508c111ebbd8bac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.3611,1.0,144.0,1.0,1.0
21832f3c0bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.5166,1.0,151.0,1.0,1.0
6d1fa90e086711ebbd5eac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.3356,1.0,149.0,1.0,1.0
566c1e2c08a811ebbd7fac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.5563,0.5,151.0,0.5,0.0
8682d20708d311ebbd96ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.5125,0.5,160.0,0.5,0.0
33a140280bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,149.0,0.5,0.0
c6ac8fcc0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2583,0.5,120.0,1.0,1.0
ee559aaa08c211ebbd8cac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.0,0.0,142.0,0.5,0.0
17e3349208df11ebbd9fac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0962,0.5,156.0,1.0,1.0
beb3605c0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1656,0.5,151.0,0.5,0.0
fcdafe320bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1987,0.5,156.0,0.5,0.0
28669c5a0bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.478,1.0,159.0,1.0,1.0
bd00729c0bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3063,0.5,160.0,0.5,0.0
a9bdb2a4099a11ebbdb0ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4101,1.0,139.0,1.0,1.0
1ec21fed08a511ebbd7dac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3836,0.5,146.0,0.5,0.0
9a1b06b60bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0654,0.5,153.0,0.5,0.0
c598b04f095211ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4539,1.0,141.0,1.0,1.0
5ead23420baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.2267,0.5,150.0,1.0,1.0
101a05820bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.271,0.5,155.0,0.5,0.0
0302950e096311ebbdafac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.6923,1.0,156.0,1.0,1.0
016e72260bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3052,0.5,154.0,0.5,0.0
f2ff844c0bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2614,0.5,153.0,0.5,0.0
188e20a60bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.32,0.5,150.0,0.5,0.0
fc26ee1c08d211ebbd96ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.7736,0.75,159.0,0.75,0.0
e95acdbc085f11ebbd5dac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.6389,0.5,144.0,0.5,0.0
